"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000116237.15_2",1945,2219,1689,1562
"ENSG00000225077.3_3",2,1,6,7
"ENSG00000158292.6_2",65,40,61,56
"ENSG00000097021.19_3",603,755,430,427
"ENSG00000069812.11_2",33,29,5,6
"ENSG00000187017.16_4",855,1321,902,857
"ENSG00000215788.10_4",72,82,36,20
"ENSG00000171680.21_3",457,447,237,260
"ENSG00000162408.10_2",658,715,419,416
"ENSG00000173662.20_3",11,38,37,36
"ENSG00000204859.12_3",141,187,219,159
"ENSG00000162413.16_3",403,521,516,484
"ENSG00000116273.5_2",399,516,460,400
"ENSG00000041988.15_5",108,126,75,90
"ENSG00000007923.15_3",2067,2299,1504,1477
"ENSG00000237436.1_5",3,9,12,2
"ENSG00000171735.18_3",582,615,700,779
"ENSG00000270035.1_5",5,2,9,5
"ENSG00000269978.1_5",8,9,6,6
"ENSG00000049245.12_3",2537,2460,1245,1156
"ENSG00000269925.1_6",9,10,19,9
"ENSG00000049246.14_2",216,218,320,334
"ENSG00000049249.8_3",0,3,8,5
"ENSG00000116288.12_3",1657,1824,1220,1055
"ENSG00000284747.1_3",25,24,13,11
"ENSG00000116285.12_2",6492,8226,3528,3200
"ENSG00000238290.1_5",19,13,16,14
"ENSG00000142599.17_4",5872,6777,4909,4935
"ENSG00000074800.15_5",18222,25313,12943,11170
"ENSG00000142583.17_3",2,4,7,1
"ENSG00000180758.11_3",209,332,355,323
"ENSG00000228526.7_4",638,800,723,713
"ENSG00000234546.3_4",2,8,18,12
"ENSG00000049239.12_3",1069,1365,1334,1066
"ENSG00000171621.13_2",245,230,252,268
"ENSG00000235263.1_5",1,7,2,3
"ENSG00000171612.6_3",544,665,463,413
"ENSG00000231181.1_5",19,24,30,29
"ENSG00000188807.12_3",418,389,409,416
"ENSG00000171608.15_2",496,592,518,392
"ENSG00000231789.2_5",59,68,104,108
"ENSG00000171603.17_3",3306,4345,4060,3659
"ENSG00000280113.2_4",0,0,6,1
"ENSG00000178585.14_2",311,447,553,504
"ENSG00000162441.11_2",748,828,556,489
"ENSG00000228150.1_6",2,7,3,1
"ENSG00000173614.13_3",210,286,221,192
"ENSG00000162444.11_2",21,16,13,3
"ENSG00000130939.18_3",1917,2121,1219,1116
"ENSG00000054523.17_4",3024,3518,2409,2245
"ENSG00000284642.1_3",28,26,27,20
"ENSG00000142657.20_3",5353,6178,4680,4367
"ENSG00000175279.21_3",9,4,0,4
"ENSG00000160049.11_2",1586,1859,1008,1043
"ENSG00000142655.12_2",424,562,391,380
"ENSG00000130940.14_2",246,273,243,252
"ENSG00000120948.17_5",2736,2927,1083,1083
"ENSG00000009724.16_2",244,338,439,331
"ENSG00000271895.2_6",35,48,9,21
"ENSG00000116649.9_3",1225,1622,1350,1281
"ENSG00000171824.13_3",2346,2673,1339,1342
"ENSG00000226849.1_6",12,14,11,20
"ENSG00000198793.12_3",2085,2484,2148,1883
"ENSG00000120942.13_3",708,710,798,721
"ENSG00000204624.7_3",6,3,2,2
"ENSG00000116661.10_3",1030,1062,696,605
"ENSG00000132879.13_2",351,417,379,347
"ENSG00000116663.10_2",77,70,123,118
