"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000082213.17_4",1019,991,948,972
"ENSG00000250764.1_5",3,5,3,1
"ENSG00000113384.13_2",2635,2824,2114,1962
"ENSG00000272086.1_5",15,22,19,12
"ENSG00000150712.10_2",1648,1975,1515,1276
"ENSG00000056097.15_2",7195,7601,4607,4329
"ENSG00000113387.11_3",5240,5046,3327,3035
"ENSG00000240376.1_5",11,19,24,20
"ENSG00000249572.1_5",28,24,33,47
"ENSG00000113407.13_3",3743,4269,2990,2693
"ENSG00000242110.7_4",31,43,80,60
"ENSG00000273294.1_3",2,5,3,6
"ENSG00000082196.20_3",55,84,108,85
"ENSG00000215158.9_6",64,84,50,66
"ENSG00000039560.13_3",1400,1405,1056,939
"ENSG00000272323.1_5",10,8,19,8
"ENSG00000205838.14_6",17,17,28,31
"ENSG00000113456.18_2",411,499,260,235
"ENSG00000113460.12_2",1147,1260,610,522
"ENSG00000168724.16_4",1800,1844,1100,1019
"ENSG00000113494.16_3",474,606,1108,954
"ENSG00000152582.13_5",81,76,68,52
"ENSG00000164187.6_2",291,276,217,242
"ENSG00000145604.15_2",1414,1715,431,439
"ENSG00000152620.12_2",878,1047,2386,2112
"ENSG00000079215.13_3",6,3,28,33
"ENSG00000272103.2_5",5,5,6,5
"ENSG00000285967.1_1",567,564,371,287
"ENSG00000164190.17_3",3897,4185,2472,2304
"ENSG00000197603.13_6",921,884,754,744
"ENSG00000270558.1_5",3,6,12,7
"ENSG00000113569.15_2",1371,1649,822,739
"ENSG00000082068.8_2",543,621,378,346
"ENSG00000248587.7_5",7,5,6,4
"ENSG00000168621.14_4",103,89,97,113
"ENSG00000248461.1_5",193,189,185,179
"ENSG00000113594.9_2",539,568,315,300
"ENSG00000244968.6_5",11,14,17,25
"ENSG00000249740.2_5",15,16,21,14
"ENSG00000145623.12_3",3020,3737,3195,2889
"ENSG00000164327.12_4",1175,1342,1134,1010
"ENSG00000082074.16_6",5,2,15,10
"ENSG00000153071.14_4",2435,1844,1609,1690
"ENSG00000250492.1_4",4,5,6,6
"ENSG00000113638.13_3",278,334,166,141
"ENSG00000132356.11_2",3201,3117,2462,2465
"ENSG00000145592.13_3",9305,10596,10694,10313
"ENSG00000132357.13_3",52,60,84,109
"ENSG00000112936.18_2",138,151,589,527
"ENSG00000039537.13_3",32,66,170,170
"ENSG00000182836.9_2",4,7,3,2
"ENSG00000083720.12_2",103,118,71,43
"ENSG00000205765.8_2",893,974,693,659
"ENSG00000151876.12_2",122,114,81,63
"ENSG00000248873.1_4",68,100,28,34
"ENSG00000198865.9_2",9,28,12,3
"ENSG00000250722.5_5",18413,24983,26088,22658
"ENSG00000177738.3_6",31,57,77,55
"ENSG00000251131.1_5",7,11,9,13
"ENSG00000177721.4_3",10,8,4,6
"ENSG00000215068.7_5",44,36,50,52
"ENSG00000272144.1_5",4,4,7,6
"ENSG00000172262.11_3",859,914,569,515
"ENSG00000177453.7_3",2,0,5,0
"ENSG00000247763.2_5",11,5,0,1
"ENSG00000112972.14_3",7816,8829,16475,15709
"ENSG00000151881.14_5",158,109,123,142
"ENSG00000172244.8_3",152,133,48,30
"ENSG00000249855.1_4",254,324,248,258
"ENSG00000248240.1_6",2,1,5,1
"ENSG00000172239.13_5",2102,2329,1645,1484
"ENSG00000248092.7_6",356,410,292,268
"ENSG00000279557.1_6",3,1,2,10
"ENSG00000112992.16_3",1171,1191,1012,1003
"ENSG00000224993.3_4",3,7,8,6
"ENSG00000251141.5_5",9,13,20,15
"ENSG00000112996.10_3",1133,1290,803,830
"ENSG00000272335.1_5",86,106,91,78
"ENSG00000170571.11_3",9,7,1,1
"ENSG00000151883.17_3",29,25,13,20
"ENSG00000213949.8_4",1666,2006,3767,3309
"ENSG00000152684.10_3",493,526,298,276
"ENSG00000164171.10_2",3825,4526,1733,1461
"ENSG00000164172.18_3",803,743,229,257
"ENSG00000247796.2_5",65,53,34,37
"ENSG00000134363.11_3",1068,1472,2274,1870
"ENSG00000164258.11_3",299,379,262,236
"ENSG00000185305.10_3",144,146,69,86
"ENSG00000178996.13_3",533,499,540,513
"ENSG00000164294.13_2",118,92,100,100
"ENSG00000152669.8_2",5,8,3,3
"ENSG00000067248.9_3",1393,1391,839,751
"ENSG00000039123.15_4",1861,2088,1203,1069
"ENSG00000067113.16_3",198,175,211,164
"ENSG00000177058.11_4",464,482,683,561
"ENSG00000248854.1_4",4,8,4,4
"ENSG00000164509.13_2",3,4,4,6
"ENSG00000134352.19_3",6674,7174,3815,3506
"ENSG00000264281.3_5",6,10,8,7
"ENSG00000227908.3_5",0,3,5,1
"ENSG00000243592.1_4",2,5,3,9
"ENSG00000251435.1_4",1,9,24,13
"ENSG00000265665.1",1,6,3,1
"ENSG00000248727.5_4",18,15,15,14
"ENSG00000226221.1_4",49,71,55,50
"ENSG00000095015.5_2",1309,1572,991,846
"ENSG00000155542.11_3",48,76,71,50
"ENSG00000155545.19_3",940,1131,939,858
"ENSG00000062194.15_2",1276,1386,997,994
"ENSG00000145632.14_2",320,315,355,361
"ENSG00000113448.18_4",607,858,1016,917
"ENSG00000214244.4_4",9,14,0,5
"ENSG00000152931.7_2",268,300,255,273
"ENSG00000035499.12_2",649,865,344,289
"ENSG00000164181.13_3",299,279,262,220
"ENSG00000272308.1_5",9,13,20,10
"ENSG00000049167.14_4",363,398,254,224
"ENSG00000215032.2_4",5,2,3,3
"ENSG00000164182.10_3",935,1029,636,623
"ENSG00000188725.7_2",1019,959,760,707
"ENSG00000130449.5_3",197,207,160,199
"ENSG00000250461.1_5",33,33,13,10
"ENSG00000068796.16_4",1263,1277,648,557
"ENSG00000086189.9_3",850,807,298,362
"ENSG00000086200.16_4",714,718,383,340
"ENSG00000268942.2_4",5,6,1,1
"ENSG00000164197.11_3",8,7,7,13
"ENSG00000153006.15_4",652,645,376,321
"ENSG00000153015.15_3",1116,1306,506,439
"ENSG00000049192.14_3",238,305,829,656
"ENSG00000250081.1_5",6,8,5,6
"ENSG00000123219.12_3",499,481,131,155
"ENSG00000113593.11_2",1107,1183,676,596
"ENSG00000113595.14_3",169,207,134,105
"ENSG00000113597.17_4",257,273,209,236
"ENSG00000253251.2_6",86,82,89,100
"ENSG00000197860.9_2",534,560,337,305
"ENSG00000123213.22_3",2186,2241,1288,1242
"ENSG00000269961.1_5",1,4,4,5
"ENSG00000112851.14_5",2356,2473,1919,1863
"ENSG00000153914.15_2",4851,4889,4414,3975
"ENSG00000069020.18_3",676,694,1061,980
"ENSG00000229666.1_5",20,23,5,11
"ENSG00000213864.3_4",6,10,5,7
"ENSG00000145675.14_2",1619,1681,2130,1928
"ENSG00000249352.4_4",5,0,3,2
"ENSG00000250237.1_5",1,1,13,5
"ENSG00000145740.18_3",830,1015,853,783
"ENSG00000134057.14_3",1707,1920,453,410
"ENSG00000280187.1_5",51,54,49,39
"ENSG00000153044.9_2",213,314,51,33
"ENSG00000134056.11_2",166,199,133,133
"ENSG00000134058.11_3",862,983,517,450
"ENSG00000183323.12_4",412,423,411,367
"ENSG00000213830.3_4",14,4,9,7
"ENSG00000215006.4_4",5,10,10,4
"ENSG00000085231.13_3",305,299,151,160
"ENSG00000273841.4_4",1222,1321,1160,1170
"ENSG00000152942.18_5",1294,1298,820,757
"ENSG00000152939.15_4",612,539,702,643
"ENSG00000197822.10_2",322,335,373,329
"ENSG00000183474.15_2",176,218,139,143
"ENSG00000253203.6_3",36,40,16,12
"ENSG00000205572.9_3",3,2,7,3
"ENSG00000205571.13_5",187,164,112,104
"ENSG00000265577.1",2,2,4,6
"ENSG00000179978.11_5",63,59,51,53
"ENSG00000254701.3_5",23,17,19,16
"ENSG00000253816.3_6",40,22,17,15
"ENSG00000226259.10_2",24,21,25,22
"ENSG00000172062.16_3",253,233,172,187
"ENSG00000249437.7_4",6,11,16,4
"ENSG00000145736.14_4",115,128,80,75
"ENSG00000230847.4_5",17,6,9,14
"ENSG00000251634.2_5",18,19,11,14
"ENSG00000215630.6_4",54,56,21,23
"ENSG00000145734.18_4",3252,3499,2892,2743
"ENSG00000131844.15_2",4887,5175,2788,2879
"ENSG00000285804.1_1",1,5,3,5
"ENSG00000131711.14_2",3103,2758,1620,1673
"ENSG00000113048.16_3",1698,2000,1237,1101
"ENSG00000049883.14_3",404,438,280,263
"ENSG00000226544.4_4",2,1,2,5
"ENSG00000083312.17_2",4842,4917,3227,3033
"ENSG00000272081.1_5",2,2,5,6
"ENSG00000157107.13_3",626,582,794,812
"ENSG00000272525.1_5",11,5,9,5
"ENSG00000145741.15_3",8785,10064,6597,5938
"ENSG00000164331.9_2",371,334,452,445
"ENSG00000164338.9_3",863,735,375,330
"ENSG00000214944.9_4",1682,1914,2067,1742
"ENSG00000171617.13_4",4009,4725,2887,2417
"ENSG00000049860.13_3",1579,1734,2482,2186
"ENSG00000164347.17_4",1085,1142,792,807
"ENSG00000207336.1",3,3,5,7
"ENSG00000164346.9_4",2502,2519,1418,1330
"ENSG00000198780.11_2",3385,3480,3568,3390
"ENSG00000271714.1_5",9,3,6,3
"ENSG00000182383.8_4",3,2,2,7
"ENSG00000176928.5_2",68,80,83,84
"ENSG00000145700.9_2",10,10,16,14
"ENSG00000113161.15_3",4166,5002,5643,5081
"ENSG00000113163.16_4",694,776,617,585
"ENSG00000271815.1_5",5,8,11,5
"ENSG00000122008.15_3",550,590,331,331
"ENSG00000272040.1_5",6,0,3,0
"ENSG00000189045.13_3",14,13,3,6
"ENSG00000152359.14_4",366,378,237,214
"ENSG00000254893.6_3",39,64,42,27
"ENSG00000251235.3_4",6,6,4,4
"ENSG00000145703.15_4",4436,5088,4201,3735
"ENSG00000181104.6_2",1060,868,663,645
"ENSG00000164251.4_3",1090,821,601,674
"ENSG00000171643.13_2",7,3,5,7
"ENSG00000164252.12_3",445,435,276,250
"ENSG00000132846.5_5",1577,1582,1806,1875
"ENSG00000250802.7_5",57,44,62,48
"ENSG00000251400.1_4",7,18,11,15
"ENSG00000164253.13_4",543,595,483,414
"ENSG00000244363.3_4",14,28,17,29
"ENSG00000171530.13_3",2604,2926,1157,994
"ENSG00000213763.4_4",19,12,7,6
"ENSG00000132842.13_4",2505,2743,1875,1774
"ENSG00000245556.2_4",60,73,65,46
"ENSG00000085365.17_2",1086,1039,1043,972
"ENSG00000145685.13_3",879,978,504,459
"ENSG00000113273.16_4",2504,2943,1692,1492
"ENSG00000132837.14_3",112,111,123,95
"ENSG00000132840.9_2",269,269,709,721
"ENSG00000145692.14_2",24,35,118,140
"ENSG00000152409.8_2",539,602,623,574
"ENSG00000213757.3_5",24,46,19,17
"ENSG00000152413.14_2",592,729,683,625
"ENSG00000164329.13_4",1292,1200,1114,1080
"ENSG00000164309.14_2",50,46,55,42
"ENSG00000177034.15_3",1035,1183,641,582
"ENSG00000113296.14_4",13,17,11,11
"ENSG00000249825.5_4",3,6,10,6
"ENSG00000164300.16_2",1050,1260,773,661
"ENSG00000248569.1_5",6,6,5,7
"ENSG00000220157.4_4",6,12,3,7
"ENSG00000039319.16_3",1617,1755,1296,1185
"ENSG00000249042.5_5",113,109,118,111
"ENSG00000152380.9_3",24,30,11,19
"ENSG00000228716.6_3",1045,1146,534,506
"ENSG00000113318.9_2",617,664,337,309
"ENSG00000251450.1_5",18,13,6,2
"ENSG00000113319.12_2",2532,2421,1604,1443
"ENSG00000247572.7_6",135,149,99,95
"ENSG00000131730.15_2",44,59,64,74
"ENSG00000248794.1_5",22,23,11,9
"ENSG00000131732.11_2",1258,1285,769,727
"ENSG00000172497.8_2",0,0,3,9
"ENSG00000152348.15_4",100,84,65,60
"ENSG00000251495.1_2",32,22,14,29
"ENSG00000186468.12_3",5107,6327,5917,5135
"ENSG00000205464.12_3",311,293,174,162
"ENSG00000248112.1_5",5,2,3,1
"ENSG00000271862.1_5",37,28,29,27
"ENSG00000174695.9_2",3186,3149,3468,3384
"ENSG00000152422.15_3",291,275,100,75
"ENSG00000038427.15_4",5966,4577,3343,3296
"ENSG00000243859.3_4",31,37,17,29
"ENSG00000127184.12_5",366,479,751,664
"ENSG00000242477.1_5",6,8,8,9
"ENSG00000145715.14_2",1261,1327,1100,998
"ENSG00000134480.14_3",767,851,675,682
"ENSG00000164180.13_3",561,552,477,444
"ENSG00000247828.7_6",206,209,236,189
"ENSG00000081189.15_5",0,0,4,7
"ENSG00000153140.8_2",621,655,257,271
"ENSG00000176055.9_2",411,491,457,431
"ENSG00000113356.11_3",406,375,245,205
"ENSG00000176018.12_2",901,954,849,799
"ENSG00000164199.17_6",24,21,59,56
"ENSG00000248323.6_5",85,73,52,38
"ENSG00000113369.8_2",538,559,554,519
"ENSG00000281357.2_2",12,10,15,22
"ENSG00000250049.5_6",17,19,20,13
"ENSG00000249958.1_4",8,3,46,36
"ENSG00000237187.8_5",28,28,81,67
"ENSG00000175745.12_3",696,901,1856,1763
"ENSG00000113391.18_4",324,407,325,319
"ENSG00000249353.2_4",272,333,97,110
"ENSG00000251023.1_6",2,10,12,9
"ENSG00000185261.14_5",13,11,7,7
"ENSG00000251340.1_4",0,2,1,5
"ENSG00000133302.12_3",222,286,63,41
"ENSG00000175471.19_4",21,13,37,56
"ENSG00000198677.11_3",2058,2319,1595,1402
"ENSG00000164291.16_2",281,248,159,193
"ENSG00000175449.13_2",11,11,12,12
"ENSG00000164292.12_3",2498,2476,1210,1111
"ENSG00000173221.13_2",1037,1009,703,808
"ENSG00000251348.1_4",21,12,10,7
"ENSG00000251000.1_2",4,3,3,5
"ENSG00000236882.7_4",4,7,1,2
"ENSG00000250362.1_5",0,5,4,6
"ENSG00000118985.15_2",5300,5930,3018,2904
"ENSG00000249746.1_5",6,8,10,14
"ENSG00000153113.23_6",3141,3138,1426,1329
"ENSG00000164307.12_4",1024,1200,2236,2033
"ENSG00000248734.2_5",6,6,3,4
"ENSG00000247121.6_5",48,58,54,48
"ENSG00000164308.16_4",1008,1033,805,720
"ENSG00000113441.15_4",918,966,445,423
"ENSG00000058729.10_3",608,654,412,358
"ENSG00000248202.1_5",6,5,3,6
"ENSG00000238000.1_5",11,13,10,8
"ENSG00000250221.1_4",6,2,0,4
"ENSG00000174136.11_2",251,268,205,265
"ENSG00000246763.6_5",20,20,10,15
"ENSG00000153922.10_3",2615,2838,1977,1814
"ENSG00000248489.1_5",2,2,3,8
"ENSG00000247877.6_5",9,9,5,4
"ENSG00000174132.8_2",242,323,253,225
"ENSG00000173930.8_2",816,816,1196,1034
"ENSG00000205359.9_4",8,11,14,8
"ENSG00000250682.5_4",22,25,41,38
"ENSG00000145730.20_4",1691,1852,1578,1393
"ENSG00000145723.16_2",134,116,77,91
"ENSG00000145725.19_4",1196,1338,681,639
"ENSG00000181751.9_2",123,111,66,67
"ENSG00000112874.9_2",130,127,75,42
"ENSG00000251026.1_4",15,18,11,18
"ENSG00000145743.15_3",308,307,191,181
"ENSG00000244245.1_5",11,10,5,10
"ENSG00000151422.12_3",1273,1423,1138,1036
"ENSG00000249476.1_5",6,13,10,5
"ENSG00000198961.9_2",1966,2175,1217,1244
"ENSG00000112893.9_2",2627,2929,1696,1547
"ENSG00000186952.14_4",8,8,7,6
"ENSG00000164209.16_3",871,974,849,823
"ENSG00000248966.1_4",17,25,12,13
"ENSG00000134987.11_3",1363,1423,969,910
"ENSG00000214784.4_2",33,30,21,20
"ENSG00000164211.12_2",1471,1381,1764,1610
"ENSG00000246859.2_6",4,8,2,11
"ENSG00000134986.13_5",2642,2942,3163,3379
"ENSG00000129595.12_3",1,6,1,1
"ENSG00000224032.6_2",198,270,207,195
"ENSG00000238363.1",2,1,5,1
"ENSG00000134982.16_3",1294,1520,1100,1015
"ENSG00000153037.14_4",282,300,295,279
"ENSG00000129625.12_3",1841,1679,1528,1553
"ENSG00000172795.15_2",882,1022,564,494
"ENSG00000171444.17_3",242,235,101,144
"ENSG00000047188.15_2",1971,1968,1703,1633
"ENSG00000080709.15_4",9,5,5,9
"ENSG00000152503.9_4",89,51,31,31
"ENSG00000164219.9_2",648,721,675,547
"ENSG00000271797.1_5",5,2,6,5
"ENSG00000164221.12_3",264,278,112,91
"ENSG00000145780.7_2",560,607,633,643
"ENSG00000134970.13_4",3823,3496,3205,3163
"ENSG00000129596.4_2",58,66,122,103
"ENSG00000145782.12_4",967,974,836,775
"ENSG00000177879.15_2",2071,2241,1878,1880
"ENSG00000172901.19_4",3,8,6,3
"ENSG00000185641.6_5",133,134,94,141
"ENSG00000271918.1_5",30,22,27,29
"ENSG00000145781.8_4",237,222,213,181
"ENSG00000232916.1_4",5,4,0,0
"ENSG00000092421.16_3",2447,2492,1356,1424
"ENSG00000248445.5_5",18,18,17,19
"ENSG00000248663.6_4",1,4,3,6
"ENSG00000169570.9_3",198,186,116,108
"ENSG00000197744.5_4",115,129,25,40
"ENSG00000172869.14_3",919,944,953,870
"ENSG00000145779.7_4",319,348,119,117
"ENSG00000133835.15_4",3735,4395,4593,4194
"ENSG00000151304.5_2",291,361,165,142
"ENSG00000113083.13_3",1559,2677,3997,3658
"ENSG00000064692.18_4",5,2,1,0
"ENSG00000205302.6_2",1750,1631,1050,1142
"ENSG00000260686.1_5",7,1,9,15
"ENSG00000064652.10_2",589,563,367,323
"ENSG00000168938.5_2",324,309,524,481
"ENSG00000061455.10_2",4,5,11,9
"ENSG00000168944.15_5",657,709,440,403
"ENSG00000250539.1_4",13,20,5,5
"ENSG00000151292.17_4",856,849,672,650
"ENSG00000235275.3_2",16,19,3,2
"ENSG00000168916.15_3",226,210,104,107
"ENSG00000242814.2_5",42,55,61,87
"ENSG00000155324.9_6",165,178,217,230
"ENSG00000279118.1_6",22,19,26,22
"ENSG00000164904.17_4",2402,2845,1656,1544
"ENSG00000164902.13_2",1000,1033,544,534
"ENSG00000113368.11_2",4207,4395,969,970
"ENSG00000173926.5_2",69,65,63,65
"ENSG00000164241.13_3",221,246,184,160
"ENSG00000250859.1_4",0,5,1,2
"ENSG00000164244.20_2",3535,3537,2875,2961
"ENSG00000245937.7_4",177,189,172,150
"ENSG00000064651.13_3",454,480,315,277
"ENSG00000250329.1_4",5,0,1,2
"ENSG00000138829.11_4",6,7,9,3
"ENSG00000066583.11_4",645,728,624,560
"ENSG00000198108.3_3",67,61,64,63
"ENSG00000169567.11_2",1678,2152,1930,1858
"ENSG00000186687.15_2",430,459,137,165
"ENSG00000158985.13_2",1214,1307,838,700
"ENSG00000158987.20_5",180,195,194,191
"ENSG00000217128.11_3",889,850,708,665
"ENSG00000164398.12_5",38,44,71,73
"ENSG00000072682.18_4",1387,1894,1863,1746
"ENSG00000131435.12_2",60,53,12,16
"ENSG00000197208.5_2",3,7,10,8
"ENSG00000233006.7_5",20,28,36,34
"ENSG00000263597.1",6,5,10,1
"ENSG00000197375.12_2",288,321,395,416
"ENSG00000197536.11_5",40,34,56,56
"ENSG00000283782.2_4",2,8,0,1
"ENSG00000125347.13_5",163,177,122,115
"ENSG00000113522.13_4",111,138,93,77
"ENSG00000131437.15_3",919,769,500,504
"ENSG00000164402.13_5",1808,2045,1591,1531
"ENSG00000198944.5_3",17,29,15,9
"ENSG00000164403.14_3",642,811,844,802
"ENSG00000164404.8_3",4,8,10,11
"ENSG00000164405.10_2",267,356,323,266
"ENSG00000164406.7_2",99,122,443,420
"ENSG00000072364.12_2",3705,4013,3023,2775
"ENSG00000155329.11_2",695,609,254,238
"ENSG00000170606.14_3",7049,7473,3091,2902
"ENSG00000053108.16_3",88,85,172,147
"ENSG00000113583.7_2",2631,2787,3170,3035
"ENSG00000213585.10_2",7834,8540,7311,6564
"ENSG00000271737.1_5",3,6,9,4
"ENSG00000081059.19_3",1245,1113,1179,1137
"ENSG00000113558.18_5",1606,1921,1586,1368
"ENSG00000113575.9_3",1809,1909,1218,1089
"ENSG00000273345.5_6",3,1,9,0
"ENSG00000270177.1_5",1,4,1,5
"ENSG00000006837.11_4",25,20,19,9
"ENSG00000119048.7_3",829,871,440,402
"ENSG00000237190.3_2",291,338,162,127
"ENSG00000251169.2_4",14,12,18,11
"ENSG00000043143.20_3",519,590,325,318
"ENSG00000152700.13_2",888,920,1266,1170
"ENSG00000113615.12_2",4790,4542,3250,3264
"ENSG00000222266.1",5,1,4,0
"ENSG00000164615.4_2",206,265,246,203
"ENSG00000145833.15_4",3497,4159,2188,2061
"ENSG00000181904.8_3",2021,1990,1982,1782
"ENSG00000113621.14_4",649,734,767,706
"ENSG00000132570.14_3",152,193,140,134
"ENSG00000244921.2_4",126,152,231,216
"ENSG00000249119.1_4",93,128,57,61
"ENSG00000248923.1_4",893,838,1114,1637
"ENSG00000247627.2_4",16334,14688,11799,17147
"ENSG00000198868.3_4",24,20,11,14
"ENSG00000069011.15_2",297,364,323,353
"ENSG00000224186.8_5",141,155,292,272
"ENSG00000113648.16_3",4140,4502,2722,2581
"ENSG00000145832.14_4",13,13,7,10
"ENSG00000164616.16_3",243,220,295,270
"ENSG00000120708.16_3",7827,8588,9456,9242
"ENSG00000164621.5_5",4,6,1,2
"ENSG00000113658.17_4",1765,1805,1525,1581
"ENSG00000152377.13_2",23,17,4,5
"ENSG00000146021.14_4",5,9,5,3
"ENSG00000177733.6_3",2122,2624,1765,1664
"ENSG00000226306.6_2",0,1,0,6
"ENSG00000031003.10_3",709,656,698,664
"ENSG00000112983.17_3",2194,2443,1509,1410
"ENSG00000112984.11_3",1546,1961,285,251
"ENSG00000094880.10_2",1411,1604,1042,1010
"ENSG00000146013.10_3",8,12,18,17
"ENSG00000158402.19_5",244,382,67,68
"ENSG00000120709.10_3",971,1163,887,720
"ENSG00000120733.13_2",2448,2851,1862,1648
"ENSG00000132563.15_3",399,384,319,279
"ENSG00000120738.7_2",3575,3300,2386,2100
"ENSG00000120705.12_3",3867,4289,2570,2431
"ENSG00000113013.13_4",13012,15381,8376,7809
"ENSG00000044115.20_3",5102,5655,3052,2779
"ENSG00000120725.12_4",581,662,661,647
"ENSG00000280987.4_5",9,7,3,0
"ENSG00000281398.4_5",697,808,477,441
"ENSG00000015479.18_5",78,82,122,108
"ENSG00000120727.12_3",1955,2109,844,768
"ENSG00000272742.1_6",6,5,5,5
"ENSG00000170482.16_5",144,186,358,270
"ENSG00000228672.3_2",32,54,56,44
"ENSG00000170469.10_4",50,81,69,40
"ENSG00000170464.9_5",131,148,92,72
"ENSG00000249751.1",15,8,1,1
"ENSG00000184584.12_3",126,130,85,80
"ENSG00000131508.15_3",1067,1175,932,946
"ENSG00000171604.11_2",1008,1035,604,553
"ENSG00000245146.6_5",7,16,16,15
"ENSG00000185129.5_2",991,909,636,617
"ENSG00000182700.4_2",52,72,56,46
"ENSG00000254363.6_5",44,48,66,51
"ENSG00000120306.10_4",959,927,851,929
"ENSG00000113068.9_2",828,991,638,543
"ENSG00000113070.7_2",59,66,78,64
"ENSG00000249637.1_5",30,31,40,18
"ENSG00000131503.20_1",51,45,52,55
"ENSG00000254996.5_3",124,163,114,106
"ENSG00000213523.10_3",290,272,224,257
"ENSG00000113108.19_3",6,7,17,11
"ENSG00000176087.14_3",42,70,56,54
"ENSG00000170458.13_3",15,18,57,48
"ENSG00000131495.8_2",141,167,140,111
"ENSG00000113119.12_2",303,331,312,303
"ENSG00000113141.17_3",3047,3348,1953,1900
"ENSG00000120314.18_2",692,802,642,615
"ENSG00000256453.1_3",3,8,10,1
"ENSG00000170445.13_5",1165,1193,851,836
"ENSG00000112855.15_4",399,440,284,239
"ENSG00000146007.10_5",1942,2157,1266,1235
"ENSG00000202515.1",0,2,2,6
"ENSG00000204963.4",12,6,17,9
"ENSG00000249158.6_4",14,12,9,3
"ENSG00000112852.6_3",826,815,481,445
"ENSG00000113205.5_3",33,22,25,10
"ENSG00000081818.3_2",23,25,15,22
"ENSG00000113209.8_3",27,23,25,28
"ENSG00000113211.5_2",28,24,25,21
"ENSG00000113212.6_2",21,13,17,22
"ENSG00000120322.3_3",59,58,61,73
"ENSG00000272674.3_4",219,161,203,189
"ENSG00000177839.6_4",43,36,21,22
"ENSG00000120324.8_2",15,13,18,12
"ENSG00000197479.6_3",5,6,4,9
"ENSG00000120328.6_2",16,8,13,12
"ENSG00000187372.11_2",177,196,193,174
"ENSG00000120327.6_3",107,90,137,154
"ENSG00000146001.5_4",6,4,2,10
"ENSG00000113248.5_3",25,28,32,29
"ENSG00000178913.7_3",2429,2503,1424,1273
"ENSG00000272070.1_5",28,21,10,20
"ENSG00000204956.5_3",21,23,12,21
"ENSG00000081853.14_3",23,10,3,10
"ENSG00000254245.2_3",3,2,8,1
"ENSG00000254221.2_3",158,153,125,121
"ENSG00000262576.2_3",24,25,28,27
"ENSG00000253910.2_4",119,101,146,156
"ENSG00000253485.2_4",24,30,5,12
"ENSG00000262209.2_4",12,9,4,8
"ENSG00000253731.2_4",21,19,19,21
"ENSG00000253537.2_4",9,2,7,5
"ENSG00000253953.2_4",180,177,145,160
"ENSG00000253767.2_4",8,9,2,3
"ENSG00000276547.1_3",5,3,6,2
"ENSG00000254122.2_3",2,4,3,12
"ENSG00000253873.5_5",1,5,4,1
"ENSG00000240184.6_4",17,25,13,27
"ENSG00000240764.3_3",6,9,2,1
"ENSG00000131504.16_3",3924,4423,2666,2432
"ENSG00000171720.9_2",892,1155,783,651
"ENSG00000164620.8_2",145,179,213,202
"ENSG00000197948.10_2",399,473,411,339
"ENSG00000120318.15_2",83,87,62,67
"ENSG00000156453.13_4",34,35,11,15
"ENSG00000226040.3_5",5,0,7,5
"ENSG00000081791.8_4",1147,1221,1079,1095
"ENSG00000013561.17_4",320,304,159,155
"ENSG00000113552.15_3",894,922,726,715
"ENSG00000131507.10_2",1604,1412,1331,1428
"ENSG00000280047.1_5",7,6,3,5
"ENSG00000187678.9_4",1825,2012,983,1071
"ENSG00000231185.6_6",47,50,17,16
"ENSG00000261757.1_5",0,8,2,1
"ENSG00000236714.1_4",1,6,5,5
"ENSG00000145819.16_5",1436,1520,1503,1457
"ENSG00000113580.14_4",1038,1082,902,791
"ENSG00000231579.3_4",2,3,6,3
"ENSG00000279130.1_5",2,1,5,4
"ENSG00000145817.16_2",1074,1215,1288,1217
"ENSG00000183775.10_3",3,6,3,2
"ENSG00000186314.11_4",192,275,109,141
"ENSG00000249363.1_5",3,7,3,1
"ENSG00000156463.17_3",453,381,285,322
"ENSG00000173261.8_2",8,1,1,4
"ENSG00000133706.17_2",2888,3183,2149,1999
"ENSG00000091009.7_3",419,460,240,202
"ENSG00000113649.11_2",4497,4994,2626,2418
"ENSG00000113657.12_5",31,11,1,1
"ENSG00000176049.15_2",13,8,55,35
"ENSG00000164266.10_2",30,41,90,67
"ENSG00000178776.4_5",1,1,6,6
"ENSG00000133710.15_3",6,3,6,3
"ENSG00000247199.4_5",1,3,3,5
"ENSG00000145868.16_3",1153,1265,832,833
"ENSG00000169247.12_4",89,61,14,17
"ENSG00000173210.19_2",489,418,507,451
"ENSG00000157510.13_2",32,38,13,16
"ENSG00000164284.14_2",377,381,356,325
"ENSG00000145882.10_2",96,130,82,79
"ENSG00000127743.5_2",11,24,18,17
"ENSG00000249669.9_5",18,31,15,15
"ENSG00000113712.17_3",2071,2366,1308,1267
"ENSG00000230551.4_6",452,459,444,456
"ENSG00000241112.1_4",5,2,1,0
"ENSG00000183111.11_2",14,12,8,6
"ENSG00000155846.16_4",122,152,164,153
"ENSG00000251583.1_5",2,4,4,10
"ENSG00000155850.7_2",419,441,297,257
"ENSG00000164296.6_2",91,98,73,75
"ENSG00000113716.12_3",954,1146,1030,1028
"ENSG00000214485.6_4",37,57,34,46
"ENSG00000113721.13_2",185,292,308,266
"ENSG00000070808.15_4",24,19,15,17
"ENSG00000183876.8_3",660,691,297,265
"ENSG00000070814.19_5",3629,4363,825,827
